
Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..GraphicsContextBase.set_foreground  258    0.000237  0.000512  0.000002
..lib/function_base.py:431 histogram  1      0.000075  0.000511  0.000511
..py/core/fromnumeric.py:2772 round_  34     0.000063  0.000509  0.000015
..lines.py:1019 Line2D.set_drawstyle  135    0.000259  0.000504  0.000004
..nsforms.py:1666 Affine2D.__array__  199    0.000338  0.000496  0.000002
..es/numpy/core/_methods.py:28 _amin  67     0.000108  0.000495  0.000007
..ges/matplotlib/artist.py:45 before  156    0.000333  0.000494  0.000003
..ib/axis.py:367 XTick.apply_tickdir  23     0.000133  0.000472  0.000021
..es/numpy/core/_methods.py:25 _amax  73     0.000116  0.000469  0.000006
..ches.py:456 Rectangle.set_capstyle  109    0.000244  0.000465  0.000004
..ckages/numpy/ma/core.py:599 filled  104    0.000268  0.000465  0.000004
..nsforms.py:988 Bbox._set_intervalx  1      0.000005  0.000460  0.000460
..ib/axis.py:501 YTick.apply_tickdir  22     0.000140  0.000460  0.000021
..XAxis._update_offset_text_position  1      0.000016  0.000459  0.000459
..base.py:630 AxesSubplot.set_figure  1      0.000028  0.000453  0.000453
..py/core/fromnumeric.py:2703 around  34     0.000092  0.000446  0.000013
..nes.py:1000 Line2D.set_antialiased  135    0.000222  0.000445  0.000003
..ter/__init__.py:429 Button.destroy  11     0.000187  0.000445  0.000040
..s.py:277 MarkerStyle.get_transform  12     0.000028  0.000444  0.000037
..py:1198 Line2D.set_markerfacecolor  135    0.000215  0.000443  0.000003
..llections/__init__.py:512 __init__  36     0.000124  0.000438  0.000012
..y/core/fromnumeric.py:55 _wrapfunc  40     0.000125  0.000435  0.000011
..plotlib/text.py:994 Text.set_color  97     0.000223  0.000428  0.000004
..lib/lines.py:1010 Line2D.set_color  135    0.000204  0.000426  0.000003
..py:1174 Line2D.set_markeredgecolor  135    0.000204  0.000421  0.000003
..tist.py:775 Rectangle._set_gc_clip  129    0.000302  0.000415  0.000003
..numpy/core/numeric.py:2488 isclose  4      0.000045  0.000414  0.000104
..1210 Line2D.set_markerfacecoloralt  135    0.000199  0.000413  0.000003
..sforms.py:1709 Affine2D.get_affine  1106   0.000404  0.000404  0.000000
..nter/__init__.py:1208 Tk._register  40     0.000232  0.000403  0.000010
..s.py:109 AxesSubplot.update_params  1      0.000014  0.000403  0.000403
..otlib/axis.py:271 XTick.set_label1  12     0.000043  0.000395  0.000033
..r.py:1107 FontManager.score_family  11     0.000145  0.000394  0.000036
..lib/artist.py:820 Line2D.set_alpha  45     0.000100  0.000391  0.000009
..otlib/axis.py:282 XTick.set_label2  12     0.000042  0.000390  0.000033
..r/__init__.py:1166 Canvas._options  23     0.000161  0.000390  0.000017
..umpy/core/fromnumeric.py:2255 amin  40     0.000133  0.000390  0.000010
..ec.py:420 SubplotSpec.get_position  1      0.000131  0.000388  0.000388
..atplotlib/cbook.py:720 is_hashable  240    0.000273  0.000386  0.000002
..hes.py:473 Rectangle.set_joinstyle  105    0.000201  0.000381  0.000004
..otlib/artist.py:244 Rectangle.axes  539    0.000380  0.000380  0.000001
..plotlib/path.py:634 unit_rectangle  369    0.000307  0.000368  0.000001
..umpy/core/fromnumeric.py:2154 amax  40     0.000124  0.000367  0.000009
..se.py:2652 AxesSubplot.tick_params  2      0.000025  0.000364  0.000182
..ckages/cycler.py:349 Cycler.by_key  10     0.000196  0.000362  0.000036
...py:2266 blended_transform_factory  8      0.000029  0.000361  0.000045
..backend_tkagg.py:860 createToolTip  7      0.000034  0.000351  0.000050
..tplotlib/path.py:221 Path.vertices  663    0.000340  0.000340  0.000001
..tlib/axis.py:1731 XAxis._get_label  1      0.000034  0.000338  0.000338
../axis.py:779 XAxis.set_tick_params  4      0.000060  0.000332  0.000083
..ges/numpy/linalg/linalg.py:458 inv  3      0.000227  0.000330  0.000110
..transforms.py:1018 Bbox.get_points  526    0.000330  0.000330  0.000001
..e.py:3340 AxesSubplot.format_xdata  17     0.000179  0.000327  0.000019
..atplotlib/lines.py:640 Line2D.axes  135    0.000241  0.000327  0.000002
../matplotlib/axis.py:915 <listcomp>  2      0.000044  0.000320  0.000160
..text.py:298 Text.set_rotation_mode  97     0.000136  0.000310  0.000003
..:940 GraphicsContextBase.set_alpha  129    0.000211  0.000307  0.000002
..collections/__init__.py:581 update  36     0.000088  0.000303  0.000008
..lib/font_manager.py:974 <listcomp>  218    0.000301  0.000301  0.000001
..y:223 Rectangle.get_data_transform  99     0.000128  0.000299  0.000003
..er.py:826 FontProperties.set_style  95     0.000191  0.000299  0.000003
..py:716 ScalarFormatter._set_format  2      0.000100  0.000299  0.000149
..krefset.py:70 WeakSet.__contains__  260    0.000294  0.000294  0.000001
..987 AxesSubplot._process_unit_info  3      0.000022  0.000293  0.000098
..py:932 AxesSubplot._gen_axes_patch  1      0.000004  0.000290  0.000290
..numpy/core/fromnumeric.py:1866 any  21     0.000067  0.000286  0.000014
..42 TransformWrapper._get_is_affine  457    0.000284  0.000284  0.000001
..s.py:277 Rectangle.set_antialiased  106    0.000130  0.000282  0.000003
..er/__init__.py:1918 Tk.readprofile  1      0.000038  0.000279  0.000279
..tist.py:930 Rectangle.sticky_edges  577    0.000277  0.000277  0.000000
..er.py:546 ScalarFormatter.__call__  15     0.000058  0.000276  0.000018
..s.py:2203 BlendedAffine2D.__init__  6      0.000038  0.000276  0.000046
..b/artist.py:534 Rectangle.get_snap  105    0.000164  0.000271  0.000003
..tplotlib/text.py:1215 is_math_text  24     0.000086  0.000269  0.000011
..484 MouseEvent._update_enter_leave  70     0.000265  0.000269  0.000004
..xesSubplot._set_lim_and_transforms  1      0.000030  0.000268  0.000268
..t_manager.py:1084 get_default_size  95     0.000158  0.000268  0.000003
..ib/axis.py:1406 XAxis.update_units  4      0.000013  0.000267  0.000067
..ges/numpy/core/_methods.py:37 _any  46     0.000053  0.000266  0.000006
..:2626 BboxTransformFrom.get_matrix  206    0.000116  0.000266  0.000001
..er.py:492 ScalarFormatter.__init__  16     0.000138  0.000265  0.000017
..patches.py:490 Rectangle.set_hatch  105    0.000121  0.000263  0.000003
..e/Preliminary/IC.py:176 <listcomp>  1      0.000262  0.000262  0.000262
..tlib/text.py:294 Text.get_rotation  24     0.000048  0.000262  0.000011
../axis.py:1499 XAxis.set_label_text  12     0.000045  0.000258  0.000021
..lib/__init__.py:313 Verbose.report  78     0.000147  0.000257  0.000003
..6 FigureCanvasTkAgg.mpl_disconnect  1      0.000013  0.000252  0.000252
..orms.py:1212 BboxTransformTo.depth  792    0.000250  0.000250  0.000000
..backend_agg.py:54 get_hinting_flag  36     0.000177  0.000247  0.000007
..:2045 IdentityTransform.get_matrix  605    0.000246  0.000246  0.000000
..dedGenericTransform.transform_path  2      0.000012  0.000245  0.000123
..numpy/core/fromnumeric.py:709 sort  1      0.000006  0.000244  0.000244
..xis.py:2082 YAxis._get_offset_text  1      0.000015  0.000242  0.000242
..py/core/numeric.py:2547 within_tol  4      0.000097  0.000241  0.000060
..py:529 CallbackRegistry.disconnect  1      0.000074  0.000238  0.000238
...py:838 FontProperties.set_variant  95     0.000153  0.000237  0.000002
..xis.py:1749 XAxis._get_offset_text  1      0.000014  0.000232  0.000232
..on3.5/abc.py:194 __subclasscheck__  6/3    0.000086  0.000231  0.000039
..ok.py:498 CallbackRegistry.connect  7      0.000092  0.000230  0.000033
..py:926 Line2D._get_markerfacecolor  24     0.000109  0.000227  0.000009
..ericTransform.transform_non_affine  30     0.000063  0.000217  0.000007
..tlib/axes/_base.py:2266 <listcomp>  2      0.000125  0.000215  0.000108
..it__.py:1976 Canvas.pack_configure  10     0.000029  0.000215  0.000022
..matplotlib/text.py:64 get_rotation  24     0.000186  0.000214  0.000009
..tlib/axis.py:2062 YAxis._get_label  1      0.000016  0.000210  0.000210
..825 FigureCanvasTkAgg.resize_event  1      0.000015  0.000209  0.000209
.._init__.py:3356 PhotoImage.__del__  9      0.000033  0.000207  0.000023
..bases.py:1346 ResizeEvent.__init__  73     0.000207  0.000207  0.000003
..nter/__init__.py:1230 Canvas._root  85     0.000206  0.000206  0.000002
..rs.py:289 MarkerStyle._set_nothing  386    0.000204  0.000204  0.000001
...py:83 GridSpec.get_grid_positions  1      0.000039  0.000203  0.000203
..y:285 Spine._calc_offset_transform  8      0.000064  0.000201  0.000025
..5/tkinter/__init__.py:95 _cnfmerge  34     0.000119  0.000193  0.000006
..dedGenericTransform._get_is_affine  24     0.000054  0.000193  0.000008
..bases.py:1390 ResizeEvent.__init__  1      0.000012  0.000192  0.000192
..mpy/lib/function_base.py:1709 diff  19     0.000152  0.000191  0.000010
..b/cbook.py:2554 safe_first_element  4      0.000011  0.000190  0.000048
..is.py:1534 XAxis.set_major_locator  16     0.000064  0.000190  0.000012
..py:2249 BlendedAffine2D.get_matrix  307    0.000162  0.000186  0.000001
..ib/font_manager.py:1130 <listcomp>  11     0.000117  0.000186  0.000017
..mpy/core/fromnumeric.py:1364 ravel  3      0.000015  0.000185  0.000062
../matplotlib/image.py:130 <genexpr>  111    0.000120  0.000185  0.000002
..2324 FigureCanvasTkAgg.mpl_connect  5      0.000012  0.000183  0.000037
../lib/function_base.py:1021 average  2      0.000027  0.000178  0.000089
..FigureCanvasTkAgg.get_width_height  1      0.000031  0.000178  0.000178
...py:1168 FontManager.score_stretch  11     0.000152  0.000177  0.000016
..e.py:3353 AxesSubplot.format_ydata  17     0.000102  0.000175  0.000010
..r/__init__.py:2238 Canvas.__init__  1      0.000006  0.000175  0.000175
..tlib/axes/_base.py:2400 <listcomp>  1      0.000119  0.000174  0.000174
.. ScalarFormatter.format_data_short  34     0.000171  0.000171  0.000005
..ase.py:3066 AxesSubplot.set_ybound  1      0.000016  0.000170  0.000170
..rtist.py:802 Figure.get_agg_filter  312    0.000166  0.000166  0.000001
..otlib/path.py:528 Path.get_extents  2      0.000032  0.000165  0.000082
..b/path.py:273 Path.should_simplify  330    0.000165  0.000165  0.000000
..ib/axis.py:298 XTick._apply_params  8      0.000094  0.000162  0.000020
...py:1512 XAxis.set_major_formatter  16     0.000044  0.000160  0.000010
..otlib/axis.py:1475 XAxis.set_units  12     0.000062  0.000160  0.000013
..plotlib/cbook.py:2199 is_math_text  24     0.000101  0.000159  0.000007
../matplotlib/path.py:235 Path.codes  320    0.000158  0.000158  0.000000
..rtist.py:785 Figure.get_rasterized  312    0.000157  0.000157  0.000001
...py:1523 XAxis.set_minor_formatter  16     0.000049  0.000156  0.000010
..ath.py:254 Path.simplify_threshold  300    0.000153  0.000153  0.000001
..is.py:1545 XAxis.set_minor_locator  16     0.000045  0.000152  0.000009
..xes/_axes.py:6069 _normalize_input  1      0.000008  0.000149  0.000149
..s.py:138 Spine.get_patch_transform  6      0.000023  0.000147  0.000024
..y:287 RendererAgg.points_to_pixels  24     0.000067  0.000146  0.000006
..e.py:1389 AxesSubplot.apply_aspect  1      0.000023  0.000145  0.000145
..48 ScalarFormatter._compute_offset  2      0.000064  0.000143  0.000072
...py:381 TransformedBbox._get_width  1      0.000007  0.000140  0.000140
..r.py:537 ScalarFormatter.fix_minus  17     0.000072  0.000136  0.000008
..ns/__init__.py:686 Counter.__add__  12     0.000066  0.000136  0.000011
../numpy/core/numeric.py:2692 seterr  12     0.000060  0.000135  0.000011
..umpy/core/shape_base.py:180 vstack  2      0.000013  0.000134  0.000067
..ricTransform.transform_path_affine  2      0.000010  0.000132  0.000066
.. GraphicsContextBase.set_linewidth  117    0.000127  0.000127  0.000001
..ref.py:409 WeakKeyDictionary.items  8      0.000062  0.000126  0.000016
.._base.py:3111 AxesSubplot.set_ylim  1      0.000015  0.000124  0.000124
..s.py:230 Spine.get_patch_transform  6      0.000027  0.000124  0.000021
..matplotlib/text.py:1168 Text.set_y  32     0.000051  0.000123  0.000004
..matplotlib/figure.py:82 <listcomp>  75     0.000122  0.000122  0.000002
..py:1694 FigureCanvasTkAgg.__init__  1      0.000027  0.000121  0.000121
..700 Affine2D.transform_path_affine  2      0.000015  0.000119  0.000060
..nvasTkAgg._update_pointer_position  1      0.000038  0.000118  0.000118
.. FontProperties.get_size_in_points  165    0.000115  0.000115  0.000001
..python3.5/contextlib.py:131 helper  12     0.000047  0.000114  0.000009
..kinter/__init__.py:1881 Tk._loadtk  1      0.000034  0.000114  0.000114
..ger.py:793 FontProperties.get_file  164    0.000114  0.000114  0.000001
..py:260 GridSpec.get_subplot_params  1      0.000024  0.000113  0.000113
..matplotlib/text.py:1159 Text.set_x  33     0.000052  0.000112  0.000003
..plotlib/__init__.py:347 Verbose.ge  78     0.000110  0.000110  0.000001
../core/shape_base.py:234 <listcomp>  2      0.000015  0.000108  0.000054
../cbook.py:1302 maxdict.__setitem__  12     0.000088  0.000107  0.000009
.._methods.py:43 _count_reduce_items  26     0.000095  0.000107  0.000004
...py:911 Line2D.get_markeredgecolor  12     0.000055  0.000106  0.000009
<string>:1 <module>                   1      0.000078  0.000105  0.000105
...py:776 FontProperties.get_stretch  139    0.000104  0.000104  0.000001
..ib/artist.py:730 XAxis.get_visible  178    0.000104  0.000104  0.000001
..lib/python3.5/posixpath.py:71 join  12     0.000066  0.000103  0.000009
..r.py:739 FontProperties.get_family  139    0.000103  0.000103  0.000001
..numeric.py:3089 errstate.__enter__  6      0.000017  0.000098  0.000016
..x/classes/graph.py:645 Graph.nodes  2      0.000093  0.000097  0.000049
..er.py:752 FontProperties.get_style  139    0.000097  0.000097  0.000001
..r.py:767 FontProperties.get_weight  139    0.000096  0.000096  0.000001
...py:751 ScalarFormatter.pprint_val  15     0.000095  0.000095  0.000006
..lib/transforms.py:2747 nonsingular  8      0.000076  0.000095  0.000012
..:2659 ScaledTranslation.get_matrix  24     0.000057  0.000094  0.000004
..y/core/shape_base.py:61 atleast_2d  6      0.000049  0.000093  0.000016
...py:760 FontProperties.get_variant  139    0.000093  0.000093  0.000001
..ib/axis.py:702 XAxis.get_transform  6      0.000011  0.000091  0.000015
../lines.py:558 Line2D.set_markevery  135    0.000090  0.000090  0.000001
.._GeneratorContextManager.__enter__  12     0.000025  0.000086  0.000007
..tlib/transforms.py:278 Bbox.frozen  2      0.000012  0.000086  0.000043
..t-packages/cycler.py:227 <genexpr>  111    0.000086  0.000086  0.000001
.. GraphicsContextBase.get_clip_path  129    0.000085  0.000085  0.000001
..mpositeGenericTransform.get_matrix  1      0.000005  0.000085  0.000085
.._weakrefset.py:58 WeakSet.__iter__  8      0.000038  0.000084  0.000011
.. _GeneratorContextManager.__exit__  12     0.000051  0.000084  0.000007
..xes/_base.py:2492 AxesSubplot.grid  2      0.000018  0.000084  0.000042
.. GraphicsContextBase.set_joinstyle  117    0.000082  0.000082  0.000001
..7 GraphicsContextBase.set_capstyle  117    0.000082  0.000082  0.000001
..lib/cbook.py:2570 normalize_kwargs  1      0.000072  0.000082  0.000082
..lotlib/axis.py:705 XAxis.get_scale  110    0.000082  0.000082  0.000001
..le.py:79 LinearScale.get_transform  6      0.000011  0.000080  0.000013
..868 GraphicsContextBase.get_dashes  129    0.000079  0.000079  0.000001
..lib/axis.py:809 _translate_tick_kw  4      0.000025  0.000078  0.000020
..ackend_tkagg.py:255 filter_destroy  11     0.000036  0.000076  0.000007
..arkers.py:211 MarkerStyle.__bool__  12     0.000054  0.000076  0.000006
