
Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..Preliminary/IC.py:123 DoExperiment  1      0.005730  24.44283  24.44283
../Preliminary/IC.py:72 AnalyzeGraph  1      0.026121  14.74058  14.74058
..nness.py:22 betweenness_centrality  1      0.175764  11.73827  11.73827
.._single_source_shortest_path_basic  1000   6.412738  9.545889  0.009546
..ype/Preliminary/IC.py:35 ICCascade  1000   0.103677  6.903632  0.006904
..totype/Preliminary/IC.py:50 ICStep  9620   4.687249  6.791221  0.000706
..oseness.py:18 closeness_centrality  1      0.022271  2.914469  2.914469
..single_source_shortest_path_length  1000   1.536905  2.872664  0.002873
..tweenness.py:287 _accumulate_basic  1000   1.564328  2.016493  0.002016
<decorator-gen-206>:1 write_gexf      1      0.000013  1.056311  1.056311
..utils/decorators.py:155 _open_file  1      0.002556  1.056298  1.056298
..kx/readwrite/gexf.py:38 write_gexf  1      0.000027  1.053623  1.053623
..ses/graph.py:379 Graph.__getitem__  201..  1.048901  1.048901  0.000001
..graph.py:1063 Graph.neighbors_iter  652..  0.691084  0.966392  0.000001
..write/gexf.py:577 GEXFWriter.write  1      0.000058  0.747016  0.747016
..ementTree.py:719 ElementTree.write  1      0.000080  0.657607  0.657607
..ython3.5/json/__init__.py:119 dump  2      0.077803  0.528848  0.264424
../ElementTree.py:897 _serialize_xml  239..  0.293724  0.491573  0.000021
...5/json/encoder.py:411 _iterencode  80332  0.063792  0.407612  0.000005
..ages/matplotlib/pyplot.py:236 show  1      0.000014  0.385488  0.385488
..backend_bases.py:149 Show.__call__  1      0.000062  0.385474  0.385474
..eliminary/IC.py:25 InitializeGraph  1      0.014764  0.365337  0.365337
..nit__.py:1548 CallWrapper.__call__  141..  0.002023  0.347309  0.002463
..on/encoder.py:332 _iterencode_dict  309..  0.282824  0.343815  0.000001
..ges/matplotlib/pyplot.py:3061 hist  1      0.000022  0.343316  0.343316
..infrastructure.py:825 beta_gen.rvs  4975   0.057996  0.342173  0.000069
..e/gexf.py:285 GEXFWriter.add_graph  1      0.000036  0.306534  0.306534
..e/gexf.py:335 GEXFWriter.add_edges  1      0.091774  0.268044  0.268044
../matplotlib/__init__.py:1819 inner  2/1    0.000100  0.196631  0.098316
..xes/_axes.py:5873 AxesSubplot.hist  1      0.000355  0.196600  0.196600
..agg.py:593 FigureManagerTkAgg.show  1      0.000070  0.196204  0.196204
..tkinter/__init__.py:1026 Tk.update  1      0.000008  0.196015  0.196015
..gg.py:263 FigureCanvasTkAgg.resize  1      0.000095  0.193351  0.193351
..axes/_axes.py:1858 AxesSubplot.bar  1      0.001534  0.190224  0.190224
../backend_tkagg.py:70 Show.mainloop  1      0.000009  0.189174  0.189174
..5/tkinter/__init__.py:406 mainloop  1      0.000008  0.189165  0.189165
..kagg.py:350 FigureCanvasTkAgg.draw  1      0.000043  0.183739  0.183739
.._agg.py:453 FigureCanvasTkAgg.draw  1      0.000037  0.177388  0.177388
..tplotlib/artist.py:61 draw_wrapper  156/1  0.001236  0.176483  0.001131
..plotlib/figure.py:1091 Figure.draw  1      0.000056  0.176451  0.176451
..:120 _draw_list_compositing_images  2/1    0.000231  0.175069  0.087534
..xes/_base.py:2346 AxesSubplot.draw  1      0.000112  0.175019  0.175019
..:720 Rectangle.get_patch_transform  543    0.000979  0.167933  0.000309
.. Rectangle._update_patch_transform  543    0.011870  0.166954  0.000307
..ree/ElementTree.py:836 _namespaces  1      0.091767  0.165543  0.165543
..hes.py:216 Rectangle.get_transform  450    0.002203  0.160463  0.000357
..base.py:1855 AxesSubplot.add_patch  99     0.000776  0.158972  0.001606
..kages/matplotlib/pyplot.py:932 gca  1      0.000012  0.146663  0.146663
..ureCanvasTkAgg.motion_notify_event  127    0.001678  0.129874  0.001023
..numpy/core/fromnumeric.py:1953 all  10456  0.027671  0.127820  0.000012
..ureCanvasTkAgg.motion_notify_event  127    0.001674  0.126718  0.000998
..f.py:396 GEXFWriter.add_attributes  5975   0.080506  0.124508  0.000021
..tplotlib/axis.py:67 XTick.__init__  45/37  0.001625  0.121424  0.002698
.._bases.py:1552 MouseEvent.__init__  127    0.000933  0.116951  0.000921
..3 AxesSubplot._update_patch_limits  99     0.001690  0.116625  0.001178
.._bases.py:1441 MouseEvent.__init__  127    0.002180  0.115940  0.000913
..b/backend_bases.py:1457 <listcomp>  127    0.000450  0.106924  0.000842
../_base.py:2025 AxesSubplot.in_axes  127    0.000525  0.106474  0.000838
../patches.py:170 Rectangle.contains  127    0.002056  0.105949  0.000834
..tplotlib/figure.py:1327 Figure.gca  1      0.000013  0.103156  0.103156
..b/figure.py:940 Figure.add_subplot  1      0.000045  0.103140  0.103140
..ubplots.py:23 AxesSubplot.__init__  1      0.000036  0.102870  0.102870
../_base.py:432 AxesSubplot.__init__  1      0.000127  0.102336  0.102336
..matplotlib/axis.py:1128 XAxis.draw  2      0.000184  0.096642  0.048321
..raphs.py:602 barabasi_albert_graph  1      0.005628  0.090101  0.090101
..rite/gexf.py:585 GEXFWriter.indent  239..  0.075248  0.089350  0.000004
..s/matplotlib/axis.py:729 XAxis.cla  12     0.000378  0.087382  0.007282
..tructure.py:789 beta_gen._argcheck  4975   0.055754  0.086915  0.000017
..tlib/axis.py:767 XAxis.reset_ticks  16/12  0.000183  0.082648  0.005165
..lib/transforms.py:87 Bbox.__init__  6643   0.015948  0.078118  0.000012
..otlib/lines.py:297 Line2D.__init__  135    0.005509  0.077370  0.000573
..tlib/patches.py:523 Rectangle.draw  105    0.003247  0.076298  0.000727
..y:2471 composite_transform_factory  1936   0.006980  0.064839  0.000033
../axes/_base.py:968 AxesSubplot.cla  1      0.000242  0.064119  0.064119
..otlib/axis.py:2055 YAxis._get_tick  22/18  0.000134  0.063603  0.002891
../python3.5/weakref.py:101 __init__  6643   0.036510  0.062170  0.000009
..ib/axis.py:961 XAxis._update_ticks  2      0.000270  0.059659  0.029829
...py:1173 BboxTransformFrom.__add__  1682   0.003312  0.058717  0.000035
..ges/numpy/core/_methods.py:40 _all  11243  0.013308  0.058084  0.000005
..otlib/axis.py:1724 XAxis._get_tick  23/19  0.000125  0.058059  0.002524
..ansforms.py:1662 Affine2D.__init__  4281   0.006967  0.056381  0.000013
../matplotlib/axis.py:969 <listcomp>  2      0.000024  0.055241  0.027621
..otlib/axis.py:908 XAxis.iter_ticks  17     0.000147  0.055217  0.003248
..arkers.py:199 MarkerStyle._recache  618    0.004676  0.052331  0.000085
..ansforms.py:1808 Affine2D.__init__  2233   0.006011  0.050770  0.000023
..CompositeGenericTransform.__init__  1524   0.005382  0.048058  0.000032
..andom_graphs.py:590 _random_subset  995    0.011887  0.047615  0.000048
..axis.py:1317 XAxis.get_major_ticks  2      0.000095  0.047145  0.023573
..py:1947 Affine2D.rotate_deg_around  543    0.002262  0.046113  0.000085
../artist.py:667 XAxis.set_clip_path  117    0.001564  0.045500  0.000389
..kages/matplotlib/pyplot.py:579 gcf  1      0.000015  0.043495  0.043495
..es/matplotlib/pyplot.py:428 figure  1      0.000055  0.043476  0.043476
..end_tkagg.py:75 new_figure_manager  1      0.000026  0.043336  0.043336
..84 new_figure_manager_given_figure  1      0.000133  0.042229  0.042229
..y:163 TransformedBbox.set_children  2559   0.010055  0.041103  0.000016
../numpy/core/numeric.py:463 asarray  12023  0.018838  0.040665  0.000003
..ansform.contains_branch_seperately  99     0.000536  0.040548  0.000410
..matplotlib/spines.py:166 Spine.cla  4      0.000011  0.040376  0.010094
..teGenericTransform.contains_branch  99     0.001930  0.039807  0.000402
..y/core/fromnumeric.py:1817 product  4975   0.010915  0.039456  0.000008
..ib/path.py:487 Path.contains_point  127    0.001187  0.039387  0.000310
..e/gexf.py:304 GEXFWriter.add_nodes  1      0.010015  0.038452  0.038452
..mpy/core/numeric.py:534 asanyarray  10897  0.015997  0.035944  0.000003
../graph.py:803 Graph.add_edges_from  995    0.025347  0.035231  0.000035
..base.py:620 AxesSubplot._init_axis  1      0.000029  0.035084  0.035084
..nsforms.py:128 Affine2D.invalidate  1990   0.003841  0.034724  0.000017
..etworkx/utils/misc.py:105 make_str  40825  0.034527  0.034527  0.000001
..4 CompositeGenericTransform.frozen  254..  0.002227  0.033395  0.000131
..:139 Affine2D._invalidate_internal  234..  0.008472  0.030882  0.000013
..kers.py:248 MarkerStyle.set_marker  309    0.001834  0.030739  0.000099
..hon3.5/random.py:250 Random.choice  5060   0.010278  0.030544  0.000006
..nsforms.py:1957 Affine2D.translate  1086   0.004917  0.030312  0.000028
..inuous_distns.py:373 beta_gen._rvs  4975   0.007338  0.029724  0.000006
..55 WeakValueDictionary.__setitem__  4465   0.012391  0.028936  0.000006
..eadwrite/gexf.py:336 edge_key_data  4976   0.014561  0.028763  0.000006
../patches.py:675 Rectangle.__init__  101    0.000728  0.028704  0.000284
..tlib/transforms.py:828 from_bounds  557    0.001351  0.028259  0.000051
..b/patches.py:87 Rectangle.__init__  105    0.002394  0.027911  0.000266
..mpositeGenericTransform.get_affine  781..  0.005490  0.027266  0.000035
