
Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..Preliminary/IC.py:118 DoExperiment  1      0.003737  113.2771  113.2771
../Preliminary/IC.py:69 AnalyzeGraph  1      0.037467  101.4490  101.4490
..nness.py:22 betweenness_centrality  1      0.842707  77.86722  77.86722
.._single_source_shortest_path_basic  3000   40.03795  62.52377  0.020841
..oseness.py:18 closeness_centrality  1      0.064121  23.43493  23.43493
..single_source_shortest_path_length  3000   13.70690  23.26401  0.007755
..tweenness.py:287 _accumulate_basic  3000   10.75053  14.50042  0.004833
..ype/Preliminary/IC.py:32 ICCascade  1000   0.168411  10.56163  0.010562
..totype/Preliminary/IC.py:47 ICStep  11582  6.203139  10.38572  0.000897
..ses/graph.py:379 Graph.__getitem__  180..  8.276596  8.276596  0.000000
..graph.py:1063 Graph.neighbors_iter  182..  1.734295  2.431270  0.000001
..ython3.5/json/__init__.py:119 dump  2      0.126956  0.840724  0.420362
...5/json/encoder.py:411 _iterencode  132..  0.104345  0.650761  0.000005
..on/encoder.py:332 _iterencode_dict  512..  0.455719  0.546411  0.000001
..eliminary/IC.py:22 InitializeGraph  1      0.013471  0.303358  0.303358
..rastructure.py:825 uniform_gen.rvs  5996   0.073437  0.279692  0.000047
..numpy/core/fromnumeric.py:1953 all  11992  0.028808  0.130780  0.000011
..raphs.py:602 barabasi_albert_graph  1      0.012023  0.097597  0.097597
..ges/numpy/core/_methods.py:40 _all  11992  0.012489  0.050742  0.000004
..andom_graphs.py:590 _random_subset  2998   0.013670  0.048934  0.000016
..y/core/fromnumeric.py:1817 product  5996   0.011779  0.041363  0.000007
..mpy/core/numeric.py:534 asanyarray  12034  0.016186  0.039065  0.000003
..classes/graph.py:1315 Graph.degree  3000   0.011061  0.037772  0.000013
../graph.py:803 Graph.add_edges_from  2998   0.024001  0.033599  0.000011
..hon3.5/random.py:250 Random.choice  6006   0.009571  0.029479  0.000005
..es/graph.py:1354 Graph.degree_iter  12002  0.015647  0.029132  0.000002
..ses/graph.py:1139 Graph.edges_iter  17991  0.021697  0.024634  0.000001
..us_distns.py:4311 uniform_gen._rvs  5996   0.007731  0.022711  0.000004
